National Database Number,Field Number,Nmfs Regional Number,Common Name,Genus,Species,Report Status,Examiner Name,Affiliation,Stranding Agreement/Authority,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Units,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,How lat/long determined,Restrand,Findings of Human Interaction,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Date Act/Est,Observation Status,Not Able to Examine,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy,Year of Necropsy,Month of Necropsy,Day of Necropsy,Stranding Necropsied By,Additional Remarks,Additional Identifiers
NW-2012-1144329,12Pp12JulWI-06,12NWR07001,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Camp Casey, Strait of San de Fuca",48.16417,decimal degrees,actual,_122.68294,actual,GPS,N,CBD,2012-JUL-12,2012,JUL,12,Beach or Land,,Moderate Decomposition,N,2012-JUL-12,2012,JUL,12,Moderate Decomposition,N,MALE,PUP/CALF,92.5,cm,actual,22,kg,estimate,N,,,,,,,,"SD met Rachel and Daniel at the site at 8:30 pm. They had ""unburied"" the carcass which had been buried in the sand at the busy camp two days before. It was the carcass of a 92.5 cm harbor porpoise calf, male, badly scavenged. Eyes were gone, LFF and scapula gone. All organs missing from open thoracic and abdominal cavities caudal to UG slit. Body cavity contained only a few ribs, many broken and an intact vertebral column. The head was scavenged except for the very dorsal surface. The mandible was crushed and fell into several pieces. There were tooth buds only-no teeth had yet erupted. Blubber from the axial joint measured 7mm and was bright yellow. Flipper length was 18.5 cm. Fluke width 13 cm, estimate as tips were curled. Height of dorsal fin was 7 cm. Collected RFF and scapula for scientific study. Carcass was placed in the water for tidal removal.",Rachel and Daniel Nypaver
NW-2014-1159863,EJC-2014-034,14NWR08096,"Porpoise, harbor",Phocoena,phocoena,Validated,Marine Science Center Port Townsend (East Jefferson Co. MMSN),Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Nordland,Jefferson,WA,Pacific Ocean,"Fort Flagler State park, 150 yards south of Marrowstone point",48.099995,decimal degrees,estimate,_122.68897,estimate,Internet,N,CBD,2014-AUG-31,2014,AUG,31,,,Advanced Decomposition,N,2014-AUG-31,2014,AUG,31,Advanced Decomposition,N,UNKNOWN,UNKNOWN,31,cm,actual,12.5,lb,estimate,N,,,,,,,,"Missing head, skin missing on one side, heavily scavenged. Ragged edges around openings and on skin. Skin lacerations in front of tail fins. Did not appear very fresh, tissues brown/pale in color. Carried into shallow water for disposal.",
NW-2011-1142298,WDFW2011-090,11NWR07141,"Whale, gray",Eschrichtius,robustus,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Bremerton,Kitsap,WA,Puget Sound,4499 Eriand Pt. Rd.,47.6094,dd.dddd,,_122.6923,,GPS,N,Y,2011-JUL-27,2011,JUL,27,Beach or Land,,Alive,N,2011-JUL-27,2011,JUL,27,Fresh Dead,N,MALE,SUBADULT,1000,cm,Actual,15000,lb,Estimated,Y,Complete,Fresh,2011-JUL-28,2011,JUL,28,WDFW/MMI & CRC,"Whale intitally stranded Live. Died shortlyRP noticed at 7:15 AM, eyes moving, tail lobbing. At 7:50 AM passed away. There was report of a live whale swimming in Dyes Inlet the day prior to the stranding.",WDFW2011-090
NW-2012-1152632,WDFW2012-052,12NWR05143,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Gorst,Kitsap,WA,Puget Sound,Mud flats by Adelaide Gardens,47.5269,dd.dddd,estimate,_122.6966,estimate,Internet/Software,N,CBD,2012-MAY-13,2012,MAY,13,Beach or Land,,Fresh Dead,N,2012-MAY-13,2012,MAY,13,Fresh Dead,N,MALE,ADULT,147,cm,actual,42.5,kg,actual,Y,complete,fresh,2012-MAY-14,2012,MAY,14,WDFW/MMI and CRC,Reported dead in mud flats as tide went out. No scavenging. Froth from blowhole. In rigor. Collected and put on ice till necropsy next day,WDFW2012-052
NW-2016-1191596,EJC_2016_023,16NWR10004,"Porpoise, harbor",Phocoena,phocoena,Validated,Marine Science Center Port Townsend (East Jefferson Co. MMSN),Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,,Jefferson,WA,Pacific Ocean,,47.826,decimal degrees,actual,_122.700,actual,GPS,N,CBD,2016-OCT-22,2016,OCT,22,Beach or Land,,Moderate Decomposition,Y,,,,,,N,UNKNOWN,UNKNOWN,42,in,estimate,,,,N,,,,,,,,"Freshly dead harbor porpoise on beach, south of south point on hood canal. No clear signs of cause of death - slight scavenging. (47.826 N / 122.700 W) Responder sent out to locate animal but was unable to find porpoise; pictures from original caller on file at PTMSC",
NW-2011-1137810,EJC-2011-015,11NWR10043,"Porpoise, harbor",Phocoena,phocoena,Validated,Chrissy McLean,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Nordland,Jefferson,WA,Puget Sound,"Oak Bay, Ithmus beach on Indian Island",48.0183,decimal degrees,,_122.7045,,GPS,N,CBD,2011-OCT-21,2011,OCT,21,Beach or Land,,Fresh Dead,N,2011-OCT-21,2011,OCT,21,Fresh Dead,N,MALE,ADULT,152,cm,actual,48.5,kg,actual,Y,complete,fresh,2011-OCT-22,2011,OCT,22,Huggins,"Laura was given EJCMMSN number after calling animal services. She did not see the porpoise when she walked down the beach, but noted it when she returned to her car about 30 min later. She called and left a message on our 104 line. Chrissy arranged to transport to Cascadia.",
NW-2012-1145556,12Pp04SepWI-12,12NWR09023,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait of San de Fuca, 2675 West Beach Rd, 7th house down from Sunset Beach parking area",48.307001,decimal degrees,estimate,_122.717629,estimate,Internet,N,CBD,2012-SEP-04,2012,SEP,4,Beach or Land,,Moderate Decomposition,N,2012-SEP-04,2012,SEP,4,Moderate Decomposition,N,UNKNOWN,YEARLING,81,cm,actual,66,kg,estimate,N,,,,,,,,"CPSMMSN received a call at 2:40 pm from Melva Robison, 503-307-7251, reporting a dead porpoise 26"" long at West Beach, 6 houses down/1/4 mile south of the north parking lot by Joseph Whidbey State Park (by the yellow house with a bird on a pole.) The carcass was intact, eyes pecked out. RP siad they would place it on a rock so the tide would not carry it out. We arrived at the beach approximately 4:30 pm and found the porpoise on a large rock in front of the 7th house on the beach - 2675 West Beach Rd. It measured 36"" long. We estimated the weight at 25-30 lbs. The carcass was wrapped and labeled and placed in the SN freezer in Greenbank for future necropsy when funds become available.","Susan Berta, Howard Garrett"
NW-2011-1130173,11Pd09AprWI-01,11NWR04002,"Porpoise, Dall's",Phocoenoides,dalli,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Straits of San de Fuca, West Beach at Swantown and West Beach Roads.",48.3,decimal degrees,estimate,_122.720,estimate,Internet,N,CBD,2011-APR-09,2011,APR,9,Beach or Land,,Fresh Dead,N,2011-APR-09,2011,APR,9,Fresh Dead,N,FEMALE,ADULT,153.5,cm,actual,116.9,lb,actual,Y,complete,fresh,2011-APR-10,2011,APR,10,Norman et al,"The animal was collected following receipt of stranding report on evening of 4/09. Very fresh. The carcass was measured, weighed and kept chilled for necropsy scheduled for 4/10/11. Both eyes were bloodshot. Some few small superficial scratches and cuts on external surface. No evidence of serious injury noted. Full necropsy performed on 4/10/11 by Dr. Stephanie Norman, et al. Nothing unusual observed. A few very small threadlike worms noted in second chamber of stomach. Bladder and stomach empty. Complete set of tissues taken for histopathology. COD could not be determined.",Matt Klope
NW-2011-1142119,WDFW2010-204-Necropsy,11NWR01031,"Dolphin, bottlenose",Tursiops,truncatus,Validated,Steve Jeffries,WDFW/MMI,WDFW/MMI,NW,Olympia,Thurston,WA,Puget Sound,Nisqually Refuge,47.0869,dd.dddd,,_122.7253,,Internet/Software,Y,CBD,2011-JAN-31,2011,JAN,31,Beach or Land,,Fresh Dead,N,2011-FEB-02,2011,FEB,2,Fresh Dead,N,MALE,SUBADULT,196,cm,Actual,94,kg,Actual,Y,Complete,Fresh,2011-FEB-03,2011,FEB,3,WDFW/MMI/CRC,"See WDFW2010-204 report for live animal sightings. Dolphin was seen live in multple locations (Tacoma, Redondo, Olympia) throughout southern Puget Sound from mid- December to when reported dead. Animal was last seen alive on 1/18/11 in McAlister creek by",WDFW2010-204-Necropsy WDFW2010-204
NW-2010-1121896,10Pp28AugWI-02,10NWR08053,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"West Beach, south of sunset Beach broken bulkhead, 15 min walk",48.29193,decimal degrees,estimate,_122.7275,estimate,Internet,N,CBD,2010-AUG-28,2010,AUG,28,Beach or Land,,Moderate Decomposition,N,2010-AUG-28,2010,AUG,28,Moderate Decomposition,N,MALE,PUP/CALF,84,cm,actual,16,lb,estimate,N,,,,,,,,"CArla found the carcass while conducting a COASST survey and was not equiped to do a levle A investigation atthat time. She did measure and took photos. The skin was crackedand dried. There was a hole in the right side of the face and the eye was gone - most likely scavenging. Later that day S Dubpernell and Matt Klope, Principal Investigators, met with Carla and reexamined the carcass. It was a male calf, code 3 decomp with slight odor. The carcass was collected and frozen for eventual necropsy.",Carla Corin
NW-2015-1182238,WDFW2015-075,15NWR09073,"Porpoise, harbor",Phocoena,phocoena,Validated,Dyanna Lambourn,WDFW/MMI,WDFW/MMI,NW,Gig Harbor,Pierce,WA,Puget Sound,Camp Seymore YMCA Camp Glen Cove,47.3422,dd.dddd,actual,_122.73,actual,Internet/Software,N,CBD,2015-SEP-07,2015,SEP,7,Floating,,Moderate Decomposition,N,2015-SEP-07,2015,SEP,7,Moderate Decomposition,N,MALE,ADULT,143,cm,actual,36,kg,actual,Y,complete,fresh,2015-SEP-08,2015,SEP,8,WDFW/MMI,Found dead floating in cove. Recovered and collected for limited necropsy due to decomposition and scavenging,WDFW2015-075
NW-2009-1151263,CRC-924,09NWR04038,"Whale, gray",Eschrichtius,robustus,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Birch Bay,Whatcom,WA,Strait of Juan de Fuca,"Birch Bay, near Cherry Point",48.8561,dd.dddd,actual,_122.7301,actual,GPS,N,CBD,2009-APR-27,2009,APR,27,Floating,,Fresh Dead,N,2009-APR-27,2009,APR,27,Fresh Dead,N,MALE,SUBADULT,826,cm,actual,,,,Y,limited,fresh,2009-APR-28,2009,APR,28,CRC/WDFW/WCMMSN,WCMMSN responded and helped to tow the animal to a suitable necropsy location. Necropsy led by CRC the following day.,
NW-2009-1151275,CRC-965,09NWR08250,"Porpoise, harbor",Phocoena,phocoena,Validated,Chrissy McLean,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Chimacum,Jefferson,WA,Puget Sound,Oak Bay,48.0204,dd.dddd,actual,_122.7309,actual,GPS,N,N,2009-AUG-05,2009,AUG,5,Beach or Land,,Fresh Dead,N,2009-AUG-05,2009,AUG,5,Fresh Dead,N,MALE,PUP/CALF,92,cm,actual,11,kg,actual,Y,complete,fresh,2009-AUG-10,2009,AUG,10,CRC,"Was picked up fresh, on ice until necropsy.",080509-07
NW-2014-1159720,14Pp21SepWI-09,14NWR09015,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait of San de Fuca, 1.2 miles north of Ebeys Landing parking lot",48.20153,decimal degrees,estimate,_122.7365,estimate,Map,N,Y,2014-SEP-21,2014,SEP,21,Beach or Land,,Fresh Dead,N,2014-SEP-21,2014,SEP,21,Fresh Dead,N,FEMALE,YEARLING,110.5,cm,actual,21.9,kg,actual,Y,complete,fresh,2014-SEP-23,2014,SEP,23,S. Norman,"Carcass located on Sep 21, 2014 around 11am about 1.2 miles north of Ebey's Landing beach parking lot. Found in mid-tidal area of beach and moved to high tide zone until pickup. Body showed scavenging holes around left eye and eye area. Lots of scrape marks all over body from rolling on pebbles and in the sand and possible claw or peck marks from scavenging birds. Otherwise the body was intact. The skin was scraped off a large area of the center left side. The carcass was carried off trhe beach around noon and placed into the cooler with ice around 1:30 pm. Delivered to SN headquarters in Freeland where it was kept on ice until necroposy on Sept. 23. There were NSF of the internal organs. Upon opening the skull for examination of the brain, the ventral brain stem was surrounded by hemorrhage extending to the ventral base of the skull and surrounding the entire caudal part of the cerebellum. Hemorrhage was also found deep into the atlas/axis area. Hemorrhage is on the right side of deep connective tissue beneath the blubber by C1 and C2 and surrounding the spinal cord. Update from J. Higgins: I received photos from Susan from the day that they got the stranding report, they collected and examined at least one day later. In the original photos you can clearly see monofilament impressions around the head and rostrum, but by the time they examined the animal themselves they could not see them anymore due to skin cracking and sloughing. I reviewed the photos with Stephanie Norman later (she had done the necropsy) and she agreed that it was an entanglement case based on the impressions in the photos, even though they did not see them at the necropsy.",Brenda Dewey
NW-2015-1182026,15Pp05AugWH-29,15NWR08103,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Blaine,Whatcom,WA,Pacific Ocean,Birch Bay State Park,48.960791,decimal degrees,estimate,_122.73734,estimate,Internet,N,CBD,2015-AUG-05,2015,AUG,5,Beach or Land,,Fresh Dead,N,2015-AUG-08,2015,AUG,8,Fresh Dead,N,FEMALE,PUP/CALF,30,in,estimate,15,lb,estimate,Y,complete,fresh,2015-AUG-08,2015,AUG,8,Bellingham Vet. Clinic,,
NW-2015-1177722,15Pp31JulWH-28,15NWR07086,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Blaine,Whatcom,WA,Pacific Ocean,"Drayton Harbor, California Creek",48.960791,decimal degrees,estimate,_122.73734,estimate,Internet,N,Y,2015-JUL-31,2015,JUL,31,Beach or Land,,Alive,N,2015-JUL-31,2015,JUL,31,Alive,N,FEMALE,PUP/CALF,30,in,estimate,15,lb,estimate,Y,complete,fresh,2015-JUL-31,2015,JUL,31,Jenny Ladd,,
NW-2016-1191951,EJC_2016_024,16NWR11001,"Porpoise, harbor",Phocoena,phocoena,Validated,Marine Science Center Port Townsend (East Jefferson Co. MMSN),Port Townsend Marine Science Center/ East Jefferson Co. MMSN,Port Townsend Marine Science Center/ East Jefferson Co. MMSN,NW,Fort Flagler State Park,Jefferson,WA,Pacific Ocean,Near North end of Marrowstone Island,48.119444,decimal degrees,actual,_122.744722,actual,GPS,N,CBD,2016-NOV-01,2016,NOV,1,Beach or Land,,Advanced Decomposition,N,2016-NOV-01,2016,NOV,1,Advanced Decomposition,N,UNKNOWN,UNKNOWN,51,in,estimate,,,,N,,,,,,,,"Head missing or decomposed skeleton visable to mid-ribs. Lower part of body and tail intact. Small injury noted on ventral side (red spot in photo). Edges are sharp. Otherwise, animal too deteriorated to determine cause of death",
NW-2015-1177721,15Pp20AprWH-26,15NWR04047,"Porpoise, harbor",Phocoena,phocoena,Validated,Whatcom MMSN Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Blaine,Whatcom,WA,Pacific Ocean,Birch Bay,48.937,decimal degrees,estimate,_122.753,estimate,Internet,N,CBD,2015-APR-20,2015,APR,20,Beach or Land,,Fresh Dead,N,2015-APR-20,2015,APR,20,Fresh Dead,N,MALE,SUBADULT,61,in,actual,90,lb,estimate,Y,complete,,2015-APR-20,2015,APR,20,Jenny Ladd,symmetrical shallow cut along the underside of its tail just above the fluke. It appears to have been healthy.,
NW-2012-1144810,12Pp03AugWI-09,12NWR08001,"Porpoise, harbor",Phocoena,phocoena,Validated,Sandy Dubpernell,Central Puget Sound Marine Mammal Stranding Network,Central Puget Sound Marine Mammal Stranding Network,NW,Whidbey Island,Island,WA,Pacific Ocean,"Strait of San de Fuca, approximately 300 feet north of Libbey Park beach access and bulkhead",48.23349,decimal degrees,actual,_122.76555,actual,GPS,N,CBD,2012-AUG-03,2012,AUG,3,Beach or Land,,Mummified/Skeletal,N,2012-AUG-03,2012,AUG,3,Mummified/Skeletal,N,UNKNOWN,PUP/CALF,68,cm,estimate,10,kg,estimate,N,,,,,,,,"Reporting Party called on 8/2/12 with minimal location details on ""dead baby orca"" on a beach near Sierra Community. She had also called earlier in the day but left no details. The tide had come in and it was too late to respond on 8/2/12. Carla Corin, SN volunteer, located the carcass early morning of 8/3/12, took pictures and marked location. SD responded to make accurate identification of this totally mummified carcass. The remains were broken into 3 sections- head, middle and fluke section. The 3 sections were ""reassembled"" on a driftwood log for approximation of length. All flesh was gone except for the flukes which were in good condition.(Fluke width 19 cm). It was verified as a harbor porpoise calf. All internal organs were gone. The head was mummified, had several holes and measured 13 cm in length from the tip of the snout to the center of the eye socket. Riba and acapula were gone. Identified as a harbor porpoise by the vertebrae. Not a Dall's porpoise. Photos taken. Carcass hidden from view from the public behind driftwood. No samples taken.",
NW-2006-1064217,CRC-781,06NWR12030,"Whale, gray",Eschrichtius,robustus,Validated,John Calambokidis,Cascadia Research,Cascadia Research,NW,,Kitsap,WA,Hood Canal,1.2 Miles South of Brown's Point,47.7393,decimal degrees,,_122.7728,,GPS,N,CBD,2006-DEC-31,2006,DEC,31,Floating,,Fresh Dead,N,2007-JAN-08,2007,JAN,8,Moderate Decomposition,N,FEMALE,ADULT,1240,cm,Actual,0,,,Y,,,2007-JAN-08,2007,JAN,8,CRC,"Found floating on 31 Dec 2006, reported beached at 47*41.0, 122*48.12 on 1 Jan 2007 at 0:20. Jessie Huggins and Annie Douglas respond on 1/2/07 at 0830 but whale no longer there. Reported beached again at 47*44.346 and 122*46.329 by Chris (360-509-5865).",CRC-781
NW-2015-1174271,15Pp23JulWH-27,15NWR07017,"Porpoise, harbor",Phocoena,phocoena,Validated,Stranding Network Volunteer,Whatcom Marine Mammal Stranding Network,Whatcom Co. MMSN,NW,Blaine,Whatcom,WA,Pacific Ocean,Semiahmoo Bay/Spit,48.989673,decimal degrees,estimate,_122.775555,estimate,Internet,N,N,2015-JUL-23,2015,JUL,23,,,Alive,N,2015-JUL-23,2015,JUL,23,Alive,N,UNKNOWN,PUP/CALF,26,in,estimate,,,,N,,,,,,,,12:24 Received notification of porpoise stranding. 1:03 A second attempt at was made to guide the porpoise out into deeper water by way of a makeshift trench that was dug out by WMMSN volunteers and restaurant employees. This attempt was successful and the porpoise was last seen heading north about a one hundred feet off shore. Volunteers stayed on site to make sure there was not going to be another re-stranding. Photos were taken and sent to both P.I. Victoria Souze and Co.I. Starr Hendricks.,
NW-2015-1181062,CRC-1512,15NWR12002,"Porpoise, harbor",Phocoena,phocoena,Validated,Jessie Huggins,Cascadia Research,Cascadia Research,NW,Olympia,Thurston,WA,Puget Sound,Tolmie State Park,47.1207,dd.dddd,actual,_122.776,actual,GPS,N,N,2015-DEC-18,2015,DEC,18,Beach or Land,,Fresh Dead,N,2015-DEC-19,2015,DEC,19,Fresh Dead,N,FEMALE,ADULT,173.5,cm,actual,65,kg,estimate,Y,complete,fresh,2015-DEC-19,2015,DEC,19,CRC,Reported just before dark on 18 dec. Recovered morning of 19 Dec,
NW-2010-1109667,2010-SJ005,10NWR03003,"Porpoise, harbor",Phocoena,phocoena,Validated,Amy Traxler,Whale Museum,San Juan County Marine Mammal Stranding Network,NW,Orcas Island,San Juan,WA,Pacific Ocean,Doe Bay,48.6411,decimal degrees,actual,_122.7806,actual,GPS,N,CBD,2010-MAR-03,2010,MAR,3,Floating,,Condition Unknown,N,2010-MAR-03,2010,MAR,3,Fresh Dead,N,MALE,YEARLING,96,cm,actual,12.1,kg,actual,Y,complete,fresh,2010-MAR-04,2010,MAR,4,J. Gaydos,,
